Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
RGB14,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,328.616606,-43.168877,0.0,bottom
RGB15,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,352.429106,-43.168877,0.0,bottom
RGB16,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,371.479106,-43.168877,0.0,bottom
RGB17,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,390.529106,-43.168877,0.0,bottom
RGB18,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,409.579106,-43.168877,0.0,bottom
RGB19,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,38.104106,-66.981377,0.0,bottom
RGB2,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,76.204106,-43.168877,0.0,bottom
RGB20,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,57.154106,-66.981377,0.0,bottom
RGB21,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,76.204106,-66.981377,0.0,bottom
RGB22,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,95.254106,-66.981377,0.0,bottom
RGB23,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,114.304106,-66.981377,0.0,bottom
RGB24,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,133.354106,-66.981377,0.0,bottom
RGB25,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,152.404106,-66.981377,0.0,bottom
RGB26,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,171.454106,-66.981377,0.0,bottom
RGB27,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,190.504106,-66.981377,0.0,bottom
RGB28,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,209.554106,-66.981377,0.0,bottom
RGB29,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,228.604106,-66.981377,0.0,bottom
RGB3,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,95.254106,-43.168877,0.0,bottom
RGB30,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,247.654106,-66.981377,0.0,bottom
RGB31,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,266.704106,-66.981377,0.0,bottom
RGB32,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,295.279106,-66.981377,0.0,bottom
RGB33,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,328.616606,-66.981377,0.0,bottom
RGB34,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,352.429106,-66.981377,0.0,bottom
RGB35,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,371.479106,-66.981377,0.0,bottom
RGB36,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,390.529106,-66.981377,0.0,bottom
RGB37,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,409.579106,-66.981377,0.0,bottom
RGB38,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,42.866606,-86.031377,0.0,bottom
RGB39,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,66.679106,-86.031377,0.0,bottom
RGB4,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,114.304106,-43.168877,0.0,bottom
RGB40,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,85.729106,-86.031377,0.0,bottom
RGB41,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,104.779106,-86.031377,0.0,bottom
RGB42,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,123.829106,-86.031377,0.0,bottom
RGB43,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,142.879106,-86.031377,0.0,bottom
RGB44,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,161.929106,-86.031377,0.0,bottom
RGB45,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,180.979106,-86.031377,0.0,bottom
RGB46,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,200.029106,-86.031377,0.0,bottom
RGB47,SK6812MINI-E,LED_SK6812MINI-E_Reverse Clearence fixed with 3d,219.079106,-86.031377,0.0,bottom
